Model,Model Type,MSE,MAE,R2,Inference Latency (ms)
dnn_basic.h5,SimpleDNN,0.0929,0.2572,-0.0172,54.65
dnn_deep.h5,SimpleDNN,0.1126,0.2981,-0.2326,53.85
dnn_with_elu.h5,SimpleDNN,0.1040,0.2760,-0.1384,54.25
dnn_with_high_dropout.h5,SimpleDNN,0.1371,0.3210,-0.5003,54.49
gru_basic.h5,GRU,0.1067,0.2890,-0.1680,63.72
gru_deep.h5,GRU,0.0943,0.2497,-0.0317,67.24
gru_wide.h5,GRU,0.1359,0.3324,-0.4875,65.49
gru_with_stats.h5,GRU,0.0921,0.2527,-0.0080,66.04
linear_basic.h5,LinearRegressor,0.1496,0.3215,-0.6379,57.03
linear_with_elastic_net.h5,LinearRegressor,0.1626,0.3214,-0.7799,56.41
linear_with_l1_reg.h5,LinearRegressor,0.1395,0.3178,-0.5265,56.55
linear_with_l2_reg.h5,LinearRegressor,0.1495,0.2978,-0.6366,57.42
lstm_basic.h5,LSTM,0.1032,0.2849,-0.1292,66.27
lstm_deep.h5,LSTM,0.1079,0.2932,-0.1810,67.73
lstm_wide.h5,LSTM,0.0964,0.2730,-0.0551,66.55
lstm_with_stats.h5,LSTM,0.0938,0.2645,-0.0272,65.65
transformer_basic.h5,Transformer,0.1107,0.2499,-0.2114,59.64
transformer_large_ff.h5,Transformer,0.1186,0.3078,-0.2981,60.49
transformer_low_dropout.h5,Transformer,0.0987,0.2718,-0.0802,59.73
transformer_more_heads.h5,Transformer,0.0848,0.2472,0.0714,59.84
transformer_with_stats.h5,Transformer,0.1203,0.2580,-0.3170,59.77
